horizon_m,spec,in_sample_r2,oos_r2_vs_no_change,rmse_model,rmse_no_change,n_oos
12,REER120 z-score,0.1348026798934362,0.1596935302893422,0.1225452719892534,0.1336834689179044,266
12,REER51 z-score,0.1289332964105987,0.14825270682920166,0.12337668227999526,0.1336834689179044,266
12,"Avg(REER120,REER51) z-score",0.13284636824482,0.15573505686170985,0.12283357290979761,0.1336834689179044,266
12,REER120 + REER/NEER wedge,0.15201956281847995,0.11622829524522449,0.12567466981060857,0.1336834689179044,266
12,REER120 + REER/NEER wedge + basket spread,0.1553324157100956,0.11538048486963026,0.1257349357975717,0.1336834689179044,266
24,REER120 z-score,0.232806060504816,0.2578980986358964,0.15356790034382586,0.17826606343328755,254
24,REER51 z-score,0.23601820530265427,0.2576110362085058,0.1535975993055487,0.17826606343328755,254
24,"Avg(REER120,REER51) z-score",0.23619132070730042,0.26097871711212417,0.15324882280239446,0.17826606343328755,254
24,REER120 + REER/NEER wedge,0.2895937342898408,0.1262887600060354,0.16662978565586023,0.17826606343328755,254
24,REER120 + REER/NEER wedge + basket spread,0.331925052608513,0.18239746960712067,0.16119062814993393,0.17826606343328755,254
36,REER120 z-score,0.3663811076866529,0.32005037037815864,0.18060257713882097,0.21902090668459515,242
36,REER51 z-score,0.3885966856916605,0.3431075175013243,0.17751404420126163,0.21902090668459515,242
36,"Avg(REER120,REER51) z-score",0.38016828130336466,0.3364464225605003,0.17841179799148327,0.21902090668459515,242
36,REER120 + REER/NEER wedge,0.40556400055754416,0.2038779794629273,0.1954228716555037,0.21902090668459515,242
36,REER120 + REER/NEER wedge + basket spread,0.49107798322620644,0.30307296027725417,0.18284337534285677,0.21902090668459515,242
60,REER120 z-score,0.5903496808013505,0.3164807758352507,0.2231993140128757,0.26997123213084845,218
60,REER51 z-score,0.6206989992137293,0.3721816088170975,0.21391168340755165,0.26997123213084845,218
60,"Avg(REER120,REER51) z-score",0.6098759030143175,0.3521107595912325,0.21730407596228815,0.26997123213084845,218
60,REER120 + REER/NEER wedge,0.5972441950044793,0.25954698320235103,0.23230911058193623,0.26997123213084845,218
60,REER120 + REER/NEER wedge + basket spread,0.6586166442979826,0.3745144109820212,0.21351389476510116,0.26997123213084845,218
